timestamp,OriginWeather,OriginRegion,OriginCountry,OriginCityName,OriginAirportID,Origin,DistanceKilometers,AvgTicketPrice,Cancelled,Carrier,DestAirportID,DestCityName,DestCountry,DestLocation,DestRegion,DestWeather
"Jun 25, 2023 @ 15:40:16.000","Heavy Fog","SE-BD",AU,Brisbane,BNE,"Brisbane International Airport","16,456.262","$771.28",false,"Kibana Airlines",CA07,Cagliari,IT,"POINT (9.05428 39.251499)","IT-88",Hail
"Jun 25, 2023 @ 15:34:39.000",Rain,"TR-34",TR,Istanbul,IST,"Ataturk International Airport","8,953.634","$680.79",false,JetBeats,CYEG,Edmonton,CA,"POINT (-113.5800018 53.30970001)","CA-AB",Cloudy
"Jun 25, 2023 @ 15:21:16.000",Sunny,"SE-BD",CN,Guangzhou,CAN,"Guangzhou Baiyun International Airport","8,902.949","$1,191.04",true,"ES-Air",MUC,Munich,DE,"POINT (11.7861 48.353802)","DE-BY","Heavy Fog"
"Jun 25, 2023 @ 15:17:53.000",Clear,"IT-34",IT,Treviso,TV01,"Treviso-Sant'Angelo Airport",0,"$294.71",false,JetBeats,TV01,Treviso,IT,"POINT (12.1944 45.648399)","IT-34",Clear
"Jun 25, 2023 @ 15:02:10.000",Clear,"US-ME",US,Portland,PWM,"Portland International Jetport Airport","5,899.455","$1,191.96",false,"Logstash Airways",ZRH,Zurich,CH,"POINT (8.54917 47.464699)","CH-ZH",Hail
"Jun 25, 2023 @ 14:59:53.000",Clear,"SE-BD",JP,Tokyo,HND,"Tokyo Haneda International Airport","2,823.453","$863.39",false,"Logstash Airways",XIY,"Xi'an",CN,"POINT (108.751999 34.447102)","SE-BD","Damaging Wind"
"Jun 25, 2023 @ 14:40:21.000",Cloudy,"MX-DIF",MX,"Mexico City",AICM,"Licenciado Benito Juarez International Airport","3,617.75","$1,049.49",false,"Logstash Airways",PDX,Portland,US,"POINT (-122.5979996 45.58869934)","US-OR","Damaging Wind"
"Jun 25, 2023 @ 14:35:42.000",Cloudy,"IT-45",IT,Bologna,BO08,"Bologna Guglielmo Marconi Airport","16,100.12","$1,085.16",false,"Logstash Airways",MEL,Melbourne,AU,"POINT (144.843002 -37.673302)","SE-BD",Cloudy
"Jun 25, 2023 @ 14:28:07.000",Hail,"IT-34",IT,Venice,VE05,"Venice Marco Polo Airport","7,446.429","$920.61",true,"Logstash Airways",YWG,Winnipeg,CA,"POINT (-97.23989868 49.90999985)","CA-MB",Sunny
"Jun 25, 2023 @ 14:28:07.000",Clear,"US-FL",US,Tampa,TPA,"Tampa International Airport","12,994.258","$728.72",false,"ES-Air",XIY,"Xi'an",CN,"POINT (108.751999 34.447102)","SE-BD",Sunny
"Jun 25, 2023 @ 14:24:16.000","Thunder & Lightning","CA-MB",CA,Winnipeg,YWG,"Winnipeg / James Armstrong Richardson International Airport","10,316.156","$748.91",false,"Logstash Airways",XIY,"Xi'an",CN,"POINT (108.751999 34.447102)","SE-BD",Clear
"Jun 25, 2023 @ 14:19:33.000",Sunny,"RU-MUR",RU,Olenegorsk,XLMO,"Olenya Air Base","2,798.623","$1,190.11",false,"ES-Air",VE05,Venice,IT,"POINT (12.3519 45.505299)","IT-34",Sunny
"Jun 25, 2023 @ 14:18:07.000","Damaging Wind","IT-21",IT,Torino,TO11,"Turin Airport","261.002","$897.4",false,"Logstash Airways",ZRH,Zurich,CH,"POINT (8.54917 47.464699)","CH-ZH",Sunny
"Jun 25, 2023 @ 14:13:09.000",Clear,"SE-BD",JP,"Chitose / Tomakomai",CTS,"New Chitose Airport","9,093.616","$1,073.81",true,"ES-Air",VR10,Verona,IT,"POINT (10.8885 45.395699)","IT-34","Damaging Wind"
"Jun 25, 2023 @ 14:12:20.000",Cloudy,"SE-BD",IN,Mumbai,BOM,"Chhatrapati Shivaji International Airport","9,795.912","$549.86",false,JetBeats,MEL,Melbourne,AU,"POINT (144.843002 -37.673302)","SE-BD",Sunny
"Jun 25, 2023 @ 14:06:11.000",Rain,"SE-BD",JP,Osaka,ITM,"Itami Airport","1,039.459","$231.86",false,"ES-Air",CTS,"Chitose / Tomakomai",JP,"POINT (141.6920013 42.77519989)","SE-BD","Damaging Wind"
"Jun 25, 2023 @ 13:37:26.000",Clear,"SE-BD",CO,Bogota,BOG,"El Dorado International Airport","13,450.984","$868.07",true,"ES-Air",XHBU,Belogorsk,RU,"POINT (128.445007 51.169997)","RU-AMU","Heavy Fog"
"Jun 25, 2023 @ 13:23:45.000",Clear,"IT-25",IT,Milan,MI11,"Milano Linate Airport","7,290.356","$1,019.35",false,"ES-Air",YWG,Winnipeg,CA,"POINT (-97.23989868 49.90999985)","CA-MB","Thunder & Lightning"
"Jun 25, 2023 @ 13:09:05.000","Damaging Wind","PR-U-A",PR,"San Juan",SJU,"Luis Munoz Marin International Airport","5,947.206","$730.44",true,"Logstash Airways",EZE,"Buenos Aires",AR,"POINT (-58.5358 -34.8222)","AR-B",Sunny
"Jun 25, 2023 @ 13:07:09.000",Sunny,"SE-AB",SE,Stockholm,ARN,"Stockholm-Arlanda Airport","15,587.645","$684.56",false,"Logstash Airways",SYD,Sydney,AU,"POINT (151.177002 -33.94609833)","SE-BD",Hail
"Jun 25, 2023 @ 13:04:12.000",Hail,"US-FL",US,Tampa,TPA,"Tampa International Airport","8,185.856","$841.89",true,JetBeats,TV01,Treviso,IT,"POINT (12.1944 45.648399)","IT-34",Cloudy
"Jun 25, 2023 @ 12:57:01.000",Hail,"SE-BD",CN,"Xi'an",XIY,"Xi'an Xianyang International Airport",0,"$355.62",false,"Kibana Airlines",XIY,"Xi'an",CN,"POINT (108.751999 34.447102)","SE-BD",Sunny
"Jun 25, 2023 @ 12:40:54.000",Rain,"IT-75",IT,Bari,BA02,"Bari Karol Wojty__a Airport","9,746.327","$1,012.66",false,"Kibana Airlines",BOG,Bogota,CO,"POINT (-74.1469 4.70159)","CO-CUN",Rain
"Jun 25, 2023 @ 12:23:20.000",Clear,"GB-ENG",GB,London,LGW,"London Gatwick Airport","9,636.245","$925.97",false,JetBeats,NRT,Tokyo,JP,"POINT (140.3860016 35.76470184)","SE-BD",Hail
"Jun 25, 2023 @ 12:16:10.000",Rain,"TR-34",TR,Istanbul,IST,"Ataturk International Airport","7,733.566","$1,122.96",false,"Logstash Airways",YUL,Montreal,CA,"POINT (-73.74079895 45.47060013)","CA-QC",Sunny
"Jun 25, 2023 @ 12:16:10.000",Clear,"US-CT",US,Hartford,BDL,"Bradley International Airport","6,220.027","$524.4",true,"ES-Air",TO11,Torino,IT,"POINT (7.64963 45.200802)","IT-21","Damaging Wind"
"Jun 25, 2023 @ 12:09:59.000",Sunny,"SE-BD",AU,Brisbane,BNE,"Brisbane International Airport","16,505.068","$538.72",false,"ES-Air",LTN,London,GB,"POINT (-0.368333012 51.87469864)","GB-ENG",Sunny
"Jun 25, 2023 @ 12:07:20.000","Damaging Wind","SE-BD",JP,Osaka,ITM,"Itami Airport","9,742.771","$921.65",false,"ES-Air",FCO,Rome,IT,"POINT (12.2388889 41.8002778)","SE-BD",Rain
"Jun 25, 2023 @ 12:03:10.000",Cloudy,"US-TX",US,"San Antonio",SAT,"San Antonio International Airport","2,264.788","$1,136.68",true,"Kibana Airlines",YWG,Winnipeg,CA,"POINT (-97.23989868 49.90999985)","CA-MB","Heavy Fog"
"Jun 25, 2023 @ 11:55:10.000",Cloudy,"SE-BD",KR,"Jeju City",CJU,"Jeju International Airport","11,291.997","$605.19",false,JetBeats,PWM,Portland,US,"POINT (-70.30930328 43.64619827)","US-ME","Thunder & Lightning"
"Jun 25, 2023 @ 11:41:06.000",Cloudy,"SE-BD",IN,Bangalore,BLR,"Kempegowda International Airport","7,056.793","$529.72",false,"ES-Air",VE05,Venice,IT,"POINT (12.3519 45.505299)","IT-34",Rain
"Jun 25, 2023 @ 11:41:06.000",Cloudy,"FR-J",FR,Paris,CDG,"Charles de Gaulle International Airport","347.653","$892.03",false,"ES-Air",LHR,London,GB,"POINT (-0.461941 51.4706)","GB-ENG",Rain
"Jun 25, 2023 @ 11:27:27.000","Thunder & Lightning","US-NY",US,"New York",JFK,"John F Kennedy International Airport","10,899.139","$1,136.1",false,"ES-Air",HND,Tokyo,JP,"POINT (139.779999 35.552299)","SE-BD","Damaging Wind"
"Jun 25, 2023 @ 11:27:27.000",Clear,"CA-MB",CA,Winnipeg,YWG,"Winnipeg / James Armstrong Richardson International Airport",0,"$480.46",false,"ES-Air",YWG,Winnipeg,CA,"POINT (-97.23989868 49.90999985)","CA-MB",Clear
"Jun 25, 2023 @ 11:07:11.000",Cloudy,"IT-34",IT,Venice,VE05,"Venice Marco Polo Airport",0,"$429.58",false,"Logstash Airways",VE05,Venice,IT,"POINT (12.3519 45.505299)","IT-34",Sunny
"Jun 25, 2023 @ 10:54:34.000",Rain,"SE-BD",AU,Adelaide,ADL,"Adelaide International Airport","16,809.143","$858.14",false,JetBeats,IAD,Washington,US,"POINT (-77.45580292 38.94449997)","US-DC","Heavy Fog"
"Jun 25, 2023 @ 10:40:05.000",Clear,"IT-21",IT,Torino,TO11,"Turin Airport","1,246.304","$1,184.16",true,JetBeats,WAW,Warsaw,PL,"POINT (20.96710014 52.16569901)","PL-MZ",Hail
"Jun 25, 2023 @ 10:39:28.000",Sunny,"IT-25",IT,Milan,MI12,"Malpensa International Airport","6,266.6","$587.05",false,JetBeats,YOW,Ottawa,CA,"POINT (-75.66919708 45.32249832)","CA-ON",Sunny
"Jun 25, 2023 @ 10:32:13.000",Cloudy,"DE-NW",DE,Cologne,CGN,"Cologne Bonn Airport","9,221.414","$861.33",false,"Logstash Airways",DUR,Durban,ZA,"POINT (31.11972222 -29.61444444)","SE-BD",Cloudy
"Jun 25, 2023 @ 10:31:39.000",Clear,"SE-BD",CO,Bogota,BOG,"El Dorado International Airport","4,517.531","$1,007.3",false,"Kibana Airlines",YUL,Montreal,CA,"POINT (-73.74079895 45.47060013)","CA-QC",Rain
"Jun 25, 2023 @ 10:15:07.000","Thunder & Lightning","SE-BD",AE,"Jebel Ali",DWC,"Al Maktoum International Airport","5,942.77","$928.53",true,"ES-Air",DUB,Dublin,IE,"POINT (-6.270070076 53.42129898)","IE-D",Rain
"Jun 25, 2023 @ 10:04:11.000",Cloudy,"AR-B",AR,"Buenos Aires",EZE,"Ministro Pistarini International Airport","15,343.039","$655.39",false,"ES-Air",HYD,Hyderabad,IN,"POINT (78.42985535 17.23131752)","SE-BD","Thunder & Lightning"
"Jun 25, 2023 @ 10:03:05.000",Sunny,"SE-BD",KR,"Jeju City",CJU,"Jeju International Airport","7,900.476","$1,015.14",false,"Kibana Airlines",SYD,Sydney,AU,"POINT (151.177002 -33.94609833)","SE-BD","Damaging Wind"
"Jun 25, 2023 @ 10:02:22.000","Heavy Fog","CA-ON",CA,Ottawa,YOW,"Ottawa Macdonald-Cartier International Airport","6,221.099","$759.35",false,"ES-Air",TO11,Torino,IT,"POINT (7.64963 45.200802)","IT-21",Cloudy
"Jun 25, 2023 @ 09:32:15.000",Hail,"IT-82",IT,Catania,CT03,"Catania-Fontanarossa Airport","6,721.423","$999.02",false,"Kibana Airlines",BLR,Bangalore,IN,"POINT (77.706299 13.1979)","SE-BD",Cloudy
"Jun 25, 2023 @ 09:31:33.000","Thunder & Lightning","IE-D",IE,Dublin,DUB,"Dublin Airport","9,614.529","$990.38",false,"ES-Air",NRT,Tokyo,JP,"POINT (140.3860016 35.76470184)","SE-BD",Rain
"Jun 25, 2023 @ 09:28:33.000",Sunny,"FR-J",FR,Paris,CDG,"Charles de Gaulle International Airport","1,900.015","$673.7",false,"ES-Air",HEL,Helsinki,FI,"POINT (24.9633007 60.31719971)","FI-ES",Sunny
"Jun 25, 2023 @ 09:25:53.000","Thunder & Lightning","SE-BD",CN,Guangzhou,CAN,"Guangzhou Baiyun International Airport","12,345.581","$628.88",false,"Logstash Airways",YUL,Montreal,CA,"POINT (-73.74079895 45.47060013)","CA-QC",Rain
"Jun 25, 2023 @ 09:20:16.000","Thunder & Lightning","IT-21",IT,Torino,TO11,"Turin Airport","1,246.304","$1,055.35",true,"Kibana Airlines",WAW,Warsaw,PL,"POINT (20.96710014 52.16569901)","PL-MZ",Sunny
"Jun 25, 2023 @ 09:10:38.000",Cloudy,"SE-BD",AU,Adelaide,ADL,"Adelaide International Airport","15,564.831","$807.73",false,"ES-Air",CA07,Cagliari,IT,"POINT (9.05428 39.251499)","IT-88",Sunny
"Jun 25, 2023 @ 08:32:18.000","Thunder & Lightning","US-FL",US,Orlando,SFB,"Orlando Sanford International Airport","11,692.454","$777.48",false,JetBeats,HND,Tokyo,JP,"POINT (139.779999 35.552299)","SE-BD",Clear
"Jun 25, 2023 @ 08:27:52.000",Clear,"SE-BD",IN,Hyderabad,HYD,"Rajiv Gandhi International Airport","3,566.186","$594.05",false,"Kibana Airlines",XIY,"Xi'an",CN,"POINT (108.751999 34.447102)","SE-BD",Rain
"Jun 25, 2023 @ 08:24:58.000",Clear,"GB-ENG",GB,London,LHR,"London Heathrow Airport","1,466.289","$861.38",false,"Logstash Airways",ARN,Stockholm,SE,"POINT (17.91860008 59.65190125)","SE-AB",Sunny
"Jun 25, 2023 @ 08:22:16.000",Clear,"CH-ZH",CH,Zurich,ZRH,"Zurich Airport",0,"$308.36",false,"Logstash Airways",ZRH,Zurich,CH,"POINT (8.54917 47.464699)","CH-ZH",Sunny
"Jun 25, 2023 @ 08:13:55.000",Clear,"MX-DIF",MX,"Mexico City",AICM,"Licenciado Benito Juarez International Airport","11,271.562","$994.36",false,"ES-Air",NRT,Tokyo,JP,"POINT (140.3860016 35.76470184)","SE-BD",Rain
"Jun 25, 2023 @ 08:07:32.000","Damaging Wind","CO-CUN",CO,Bogota,BOG,"El Dorado International Airport","13,450.984","$1,175.91",false,"ES-Air",XHBU,Belogorsk,RU,"POINT (128.445007 51.169997)","RU-AMU",Rain
"Jun 25, 2023 @ 08:05:52.000",Rain,"SE-BD",KR,"Jeju City",CJU,"Jeju International Airport","1,296.934","$899.95",false,"Kibana Airlines",NRT,Tokyo,JP,"POINT (140.3860016 35.76470184)","SE-BD",Rain
"Jun 25, 2023 @ 08:02:49.000","Thunder & Lightning","CO-CUN",CO,Bogota,BOG,"El Dorado International Airport","4,259.578","$817.37",false,JetBeats,SYR,Syracuse,US,"POINT (-76.10630035 43.11119843)","US-NY",Rain
"Jun 25, 2023 @ 07:45:58.000",Rain,"GB-ENG",GB,London,LGW,"London Gatwick Airport","5,261.147","$530.8",false,"Kibana Airlines",YUL,Montreal,CA,"POINT (-73.74079895 45.47060013)","CA-QC",Cloudy
"Jun 25, 2023 @ 07:38:46.000",Clear,"SE-BD",CL,Santiago,SCL,"Comodoro Arturo Merino Benitez International Airport","11,937.504","$603.17",false,"Logstash Airways",ZRH,Zurich,CH,"POINT (8.54917 47.464699)","CH-ZH",Clear
"Jun 25, 2023 @ 07:34:41.000",Hail,"US-OK",US,Tulsa,TUL,"Tulsa International Airport","11,778.103","$1,194.02",false,"ES-Air",XIY,"Xi'an",CN,"POINT (108.751999 34.447102)","SE-BD",Rain
"Jun 25, 2023 @ 07:27:47.000",Sunny,"SE-BD",ZA,Johannesburg,JNB,"OR Tambo International Airport","11,741.629","$852.28",false,"ES-Air",SHA,Shanghai,CN,"POINT (121.3359985 31.19790077)","SE-BD","Damaging Wind"
"Jun 25, 2023 @ 07:24:57.000",Hail,"SE-BD",PE,Lima,LIM,"Jorge Chavez International Airport","7,136.845","$833.05",false,JetBeats,YWG,Winnipeg,CA,"POINT (-97.23989868 49.90999985)","CA-MB",Rain
"Jun 25, 2023 @ 07:23:23.000",Cloudy,"SE-BD",CN,Beijing,PEK,"Beijing Capital International Airport","6,324.579","$630.78",false,JetBeats,HEL,Helsinki,FI,"POINT (24.9633007 60.31719971)","FI-ES",Sunny
"Jun 25, 2023 @ 07:20:18.000",Sunny,"IT-34",IT,Verona,VR10,"Verona Villafranca Airport","291.902","$531",false,"ES-Air",ZRH,Zurich,CH,"POINT (8.54917 47.464699)","CH-ZH",Rain
"Jun 25, 2023 @ 07:19:12.000","Thunder & Lightning","SE-BD",CN,Shanghai,PVG,"Shanghai Pudong International Airport",0,"$357.56",true,"Logstash Airways",PVG,Shanghai,CN,"POINT (121.8050003 31.14340019)","SE-BD","Thunder & Lightning"
"Jun 25, 2023 @ 07:11:47.000","Thunder & Lightning","SE-BD",KR,Seoul,ICN,"Incheon International Airport","8,700.351","$756.88",true,"Kibana Airlines",TV01,Treviso,IT,"POINT (12.1944 45.648399)","IT-34","Heavy Fog"
"Jun 25, 2023 @ 06:56:31.000","Thunder & Lightning","CA-QC",CA,Montreal,YUL,"Montreal / Pierre Elliott Trudeau International Airport","6,481.108","$1,014.05",false,"Logstash Airways",VIE,Vienna,AT,"POINT (16.56970024 48.11029816)","AT-9","Thunder & Lightning"
"Jun 25, 2023 @ 06:54:41.000",Rain,"SE-BD",JP,Tokyo,HND,"Tokyo Haneda International Airport","9,595.428","$929.7",false,"ES-Air",VE05,Venice,IT,"POINT (12.3519 45.505299)","IT-34",Clear
"Jun 25, 2023 @ 06:54:28.000",Clear,"FR-J",FR,Paris,CDG,"Charles de Gaulle International Airport","9,733.566","$780.86",false,"Logstash Airways",NRT,Tokyo,JP,"POINT (140.3860016 35.76470184)","SE-BD",Cloudy
"Jun 25, 2023 @ 06:41:40.000",Rain,"US-TX",US,"San Antonio",SAT,"San Antonio International Airport","8,547.081","$1,073.18",false,"ES-Air",ARN,Stockholm,SE,"POINT (17.91860008 59.65190125)","SE-AB",Rain
"Jun 25, 2023 @ 06:41:40.000",Clear,"IT-62",IT,Rome,RM11,"Leonardo da Vinci___Fiumicino Airport","9,154.072","$752.17",false,"Logstash Airways",SHA,Shanghai,CN,"POINT (121.3359985 31.19790077)","SE-BD",Rain
"Jun 25, 2023 @ 06:36:27.000","Damaging Wind","SE-BD",JP,Osaka,ITM,"Itami Airport","8,082.172","$912.69",false,"Kibana Airlines",ARN,Stockholm,SE,"POINT (17.91860008 59.65190125)","SE-AB",Clear
"Jun 25, 2023 @ 06:36:27.000",Sunny,"SE-BD",JP,Tokyo,NRT,"Narita International Airport","786.399","$376.53",false,"Logstash Airways",CTS,"Chitose / Tomakomai",JP,"POINT (141.6920013 42.77519989)","SE-BD",Rain
"Jun 25, 2023 @ 06:29:03.000",Rain,"US-NC",US,Greensboro,GSO,"Piedmont Triad International Airport","11,074.403","$1,181.87",false,JetBeats,HND,Tokyo,JP,"POINT (139.779999 35.552299)","SE-BD",Clear
"Jun 25, 2023 @ 06:29:03.000","Heavy Fog","US-LA",US,"New Orleans",MSY,"Louis Armstrong New Orleans International Airport","8,727.452","$825.74",false,JetBeats,WAW,Warsaw,PL,"POINT (20.96710014 52.16569901)","PL-MZ","Heavy Fog"
